name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,temp_1,temp_5,temp_10,temp_20,temp_50,temp_80,temp_90,temp_95,temp_99,dni_avg,dni_var,dni_cnt,dni_max,dni_min
74591,33.05,-115.42,17520,23.4858276255709,100.43711576,17520,48.2,1.1,5.4,8.7,10.9,14.2,22.4,32.7,37.9,41.4,45.6,311.201484018265,145340.798262519,17520,1021,0
74592,33.05,-115.38,17520,23.4151826484018,101.696642583225,17520,48.2,0.9,5.1,8.5,10.7,14,22.4,32.7,37.9,41.3,45.5,313.518493150685,145390.344084048,17520,1017,0
74593,33.05,-115.34,17520,23.3866666666667,102.143516486862,17520,48.2,0.8,5,8.4,10.6,13.9,22.4,32.7,37.9,41.3,45.5,316.707134703196,144376.77323524,17520,1014,0
74594,33.05,-115.3,17520,23.2297203196348,103.538690257979,17520,48.1,0.5,4.6,8.1,10.4,13.7,22.3,32.6,37.8,41.25,45.4299999999999,317.655707762557,143786.371210079,17520,1012,0
74595,33.05,-115.26,17520,23.2083847031964,103.99975217119,17520,48.1,0.4,4.5,8.1,10.3,13.7,22.2,32.6,37.8,41.2,45.4299999999999,314.996175799087,142482.424381739,17520,1010,0
74902,33.09,-116.74,17520,15.8138409494868,64.4778944263073,17441,38,0,1,4.6,6.6,8.8,14.3,22.9,27.7,31.3,35.3,294.445547945205,152003.510477342,17520,1057,0
74903,33.09,-116.7,17520,15.1669544695792,64.9428919272954,17373,37.5,0,0.2,3.8,5.8,8,13.6,22.3,27.1,30.7,34.7,295.424372146119,153576.280369489,17520,1059,0
74904,33.09,-116.66,17520,14.3712145937754,67.0886969101749,17158,36.9,0,-1.2,2.4,4.4,6.7,12.6,21.6,26.5,30.1,34.1,298.12397260274,155342.374035696,17520,1062,0
74905,33.09,-116.62,17520,13.9911243991089,67.7779841844419,17058,36.6,0,-1.7,1.7,3.8,6.2,12.1,21.2,26.1,29.8,33.8,298.785559360731,157537.536237599,17520,1066,0
74906,33.09,-116.58,17520,13.9500825179772,71.7778717880609,16966,36.9,0,-2.3,1.2,3.3,5.7,12,21.4,26.4,30.1,34.2,296.908162100457,156166.998529164,17520,1065,0
74907,33.09,-116.54,17520,16.0506253962764,76.812340656817,17349,39.5,0,0,3.4,5.55,8,14.4,23.9,29,32.8,36.8,306.870776255708,149520.021201989,17520,1050,0
74908,33.09,-116.5,17520,17.5229635998853,82.7389899553934,17445,41.5,0,1,4.6,6.8,9.3,16,25.8,31,34.9,38.9,315.725342465753,152098.369447359,17520,1045,0
74909,33.09,-116.46,17520,17.7563270454676,85.5830529994576,17441,42.1,0,1,4.6,6.8,9.4,16.2,26.1,31.5,35.4,39.5,318.327226027397,151570.257949265,17520,1041,0
74910,33.09,-116.42,17520,17.4566762342134,86.6071906282738,17420,42,0,0.570000000000002,4.2,6.3,9,15.8,25.9,31.3,35.2,39.3,326.569349315069,154973.095709844,17520,1042,0
74911,33.09,-116.38,17520,18.4856407322654,90.5662724311341,17480,43.5,0,1.4,5,7.2,9.9,16.9,27.1,32.6,36.6,40.8,324.909874429224,154030.825657389,17520,1041,0
74912,33.09,-116.34,17520,18.9192547293822,91.6114119273938,17497,44.1,0,1.8,5.4,7.6,10.3,17.3,27.6,33.1,37.1,41.3299999999999,323.598515981735,152135.851473335,17520,1037,0
74913,33.09,-116.3,17520,18.5515685825509,93.2168687823234,17468,43.9,0,1.2,4.9,7.1,9.8,16.9,27.2,32.8,36.9,41.2,324.574200913242,151916.335380953,17520,1036,0
74914,33.09,-116.26,17520,17.5686805275587,92.0236106710568,17363,42.9,0,0.1,3.8,5.9,8.7,15.8,26.2,31.8,35.9,40.1,327.243607305936,154141.237872234,17520,1039,0
74915,33.09,-116.22,17520,18.7368779315867,93.8110585663,17482,44.2,0,1.4,5,7.2,10,17.1,27.5,33.1,37.2,41.4,329.189383561644,154916.062425081,17520,1039,0
74916,33.09,-116.18,17520,19.794507878511,94.3060857355353,17516,45.2,0,2.4,6.1,8.3,11.1,18.2,28.6,34.2,38.2,42.5,320.456335616438,148278.230184191,17520,1029,0
74917,33.09,-116.14,17520,22.908555936073,96.0102692770808,17520,48.4,2.6,5.4,9,11.2,14.1,21.4,31.7,37.4,41.4,45.6,312.402111872146,141227.355677926,17520,1011,0
74918,33.09,-116.1,17520,23.0436529680365,96.1659509224297,17520,48.4,2.7,5.5,9.1,11.3,14.2,21.6,31.9,37.45,41.4,45.6,311.626598173516,139711.410194941,17520,1007,0
74919,33.09,-116.06,17520,23.0883618721462,96.2565555674269,17520,48.4,2.7,5.5,9.1,11.3,14.2,21.7,31.9,37.5,41.5,45.6,309.6625,139487.354492975,17520,1008,0
74920,33.09,-116.02,17520,23.257785388128,96.5883085834328,17520,48.4,2.7,5.6,9.1,11.4,14.3,21.9,32.2,37.7,41.5,45.6,310.014440639269,139995.867078411,17520,1008,0
74921,33.09,-115.98,17520,23.2872317351598,96.7221333260541,17520,48.4,2.6,5.7,9.1,11.4,14.3,22,32.2,37.75,41.5,45.5,311.289668949772,140591.721041719,17520,1009,0
74922,33.09,-115.94,17520,23.3859760273973,97.1259058342338,17520,48.3,2.6,5.7,9.1,11.4,14.3,22.2,32.4,37.8,41.5,45.6,309.876426940639,141022.246216329,17520,1011,0
74923,33.09,-115.9,17520,23.422910958904,97.2786291193037,17520,48.3,2.6,5.8,9.1,11.4,14.3,22.2,32.4,37.8,41.5,45.6,309.002853881279,141397.777148065,17520,1012,0
74924,33.09,-115.86,17520,23.394834474886,97.5566300884747,17520,48.2,2.5,5.7,9,11.2,14.3,22.2,32.4,37.8,41.4,45.4299999999999,310.569863013699,142196.219903393,17520,1014,0
74925,33.09,-115.82,17520,23.5107591324201,97.9315361552338,17520,48.2,2.4,5.8,9.1,11.3,14.4,22.4,32.5,37.9,41.4,45.5,312.627682648402,143200.346616448,17520,1016,0
74926,33.09,-115.78,17520,23.5445776255707,98.1488021504894,17520,48.2,2.1,5.8,9,11.3,14.4,22.4,32.6,37.9,41.4,45.5,313.42654109589,143723.438864014,17520,1017,0
