1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39
-4.95,-2.85,-0.75,1.35,3.45,5.55,7.65,9.75,11.85,13.95,16.05,18.15,20.25,22.35,24.45,26.55,28.65,30.75,32.85,34.95
-6.9,-4.7,-2.5,-0.299999999999999,1.9,4.1,6.3,8.5,10.7,12.9,15.1,17.3,19.5,21.7,23.9,26.1,28.3,30.5,32.7,34.9
-2.9,-0.7,1.5,3.7,5.9,8.1,10.3,12.5,14.7,16.9,19.1,21.3,23.5,25.7,27.9,30.1,32.3,34.5,36.7,38.9
-2.85,-0.55,1.75,4.05,6.35,8.65,10.95,13.25,15.55,17.85,20.15,22.45,24.75,27.05,29.35,31.65,33.95,36.25,38.55,40.85
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-0.8,1.6,4,6.4,8.8,11.2,13.6,16,18.4,20.8,23.2,25.6,28,30.4,32.8,35.2,37.6,40,42.4,44.8
1.15,3.45,5.75,8.05,10.35,12.65,14.95,17.25,19.55,21.85,24.15,26.45,28.75,31.05,33.35,35.65,37.95,40.25,42.55,44.85
1.15,3.45,5.75,8.05,10.35,12.65,14.95,17.25,19.55,21.85,24.15,26.45,28.75,31.05,33.35,35.65,37.95,40.25,42.55,44.85
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
3.15,5.45,7.75,10.05,12.35,14.65,16.95,19.25,21.55,23.85,26.15,28.45,30.75,33.05,35.35,37.65,39.95,42.25,44.55,46.85
3.15,5.45,7.75,10.05,12.35,14.65,16.95,19.25,21.55,23.85,26.15,28.45,30.75,33.05,35.35,37.65,39.95,42.25,44.55,46.85
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-2.95,-0.85,1.25,3.35,5.45,7.55,9.65,11.75,13.85,15.95,18.05,20.15,22.25,24.35,26.45,28.55,30.65,32.75,34.85,36.95
-4.95,-2.85,-0.75,1.35,3.45,5.55,7.65,9.75,11.85,13.95,16.05,18.15,20.25,22.35,24.45,26.55,28.65,30.75,32.85,34.95
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-2.9,-0.7,1.5,3.7,5.9,8.1,10.3,12.5,14.7,16.9,19.1,21.3,23.5,25.7,27.9,30.1,32.3,34.5,36.7,38.9
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-4.85,-2.55,-0.25,2.05,4.35,6.65,8.95,11.25,13.55,15.85,18.15,20.45,22.75,25.05,27.35,29.65,31.95,34.25,36.55,38.85
-4.85,-2.55,-0.25,2.05,4.35,6.65,8.95,11.25,13.55,15.85,18.15,20.45,22.75,25.05,27.35,29.65,31.95,34.25,36.55,38.85
-4.85,-2.55,-0.25,2.05,4.35,6.65,8.95,11.25,13.55,15.85,18.15,20.45,22.75,25.05,27.35,29.65,31.95,34.25,36.55,38.85
1.15,3.45,5.75,8.05,10.35,12.65,14.95,17.25,19.55,21.85,24.15,26.45,28.75,31.05,33.35,35.65,37.95,40.25,42.55,44.85
1.15,3.45,5.75,8.05,10.35,12.65,14.95,17.25,19.55,21.85,24.15,26.45,28.75,31.05,33.35,35.65,37.95,40.25,42.55,44.85
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
