opt_wo_fval,opt_wo_vio,opt_wo_sohmin,opt_wo_mttfmin,opt_wo_time,opt_fval,opt_vio,opt_sohmin,opt_mttfmin,opt_time,rdtsh_fval,rdtsh_vio,rdtsh_sohmin,rdtsh_mttfmin,rdtsh_time,tsh_fval,tsh_vio,tsh_sohmin,tsh_mttfmin,tsh_time,srigh_fval,srigh_vio,srigh_sohmin,srigh_mttfmin,srigh_time
32,0.71875,0.861520245627524,0.84093112542322,7.752184252,40,0.15,0.899979839045024,0.902507994222393,5.958525384,37,0,0.913302887536754,0.938450352453949,0.022835067,44,0.0454545454545455,0.881645228248337,0.869966908713988,0.020781926,20,0.9,3.57879232007459e-25,0.192056273077248,0.432283939
34,0.705882352941177,0.86033219154688,0.84093112542322,3.364675761,43,0.162790697674419,0.899979839045024,0.901788539041951,6.712103258,38,0.0131578947368421,0.898709710179019,0.911673356830759,0.024087242,45,0.0333333333333333,0.87671855988222,0.864132933254852,0.021382564,20,0.7,0.000950475373206105,0.325642303806116,0.448868744
33,0.53030303030303,0.856661660695676,0.835327219029928,4.871262587,40,0.1625,0.899979839045024,0.903321571754929,5.752162982,37,0,0.912839100873646,0.93985750637296,0.023592227,44,0.0227272727272727,0.894751022069379,0.901408855376995,0.020343215,21,0.761904761904762,0.011660341598393,0.364954408648329,0.439836373
31.9999999999932,0.546875000000117,0.859652213603992,0.84093112542322,6.415863145,38,0.0789473684210526,0.89998041608159,0.903168107878423,7.019290957,36,0.0277777777777778,0.893723878637736,0.897677676901762,0.020503746,38,0.0263157894736842,0.893072183473598,0.896288769880016,0.018435719,22,0.863636363636364,0.0203417217548514,0.378333886884371,0.441906697
36,0.694444444444444,0.855051713353983,0.836475050750311,3.624201818,44,0.125,0.899979839045024,0.903783665247107,2.919150615,43,0,0.90914326612195,0.932085946782152,0.024714244,49,0.0306122448979592,0.874037202826673,0.862670574358586,0.022619313,24,0.6875,0.000474137018046068,0.316843998177164,0.531503245
32,0.65625,0.855063236694432,0.836492538397509,3.638094581,42,0.130952380952381,0.89998041608159,0.901970091158402,4.603382978,30,0,0.910836101384614,0.943727163910154,0.022112366,46,0.0434782608695652,0.884879795306985,0.884549154085527,0.019038636,21,0.595238095238095,0.0769015135959726,0.419471912073274,0.426133099
29,0.53448275862069,0.862594312865695,0.840702112410049,2.55545142,33,0.0909090909090909,0.89998041608159,0.903783665247107,3.047582236,39,0,0.912102614651804,0.937199426286345,0.02229607,38,0.0131578947368421,0.894199501286534,0.900353784586113,0.019949733,21,0.571428571428571,0.384208746940667,0.53542677814722,0.426398392
35,0.771428571428571,0.855512861390355,0.835327219029928,4.638947978,44,0.159090909090909,0.899979839045024,0.900504711436766,7.090849572,40,0,0.905162136596882,0.933441984826569,0.025355011,48,0.0208333333333333,0.892128241891658,0.895794244192206,0.022514594,21,0.785714285714286,0.174958619007098,0.462027539622347,0.463077375
32,0.5625,0.864155334369634,0.841712149207318,5.035694723,38,0.131578947368421,0.899982103168624,0.902507994222393,7.904299567,32,0,0.911409314544437,0.937150958660128,0.022476742,39,0,0.901836664704594,0.9098637902215,0.02054128,23,0.652173913043478,7.01805050560711e-13,0.232205393710773,0.4895009
32,0.546875,0.86250632416981,0.840702112410048,2.340476127,38,0.0921052631578947,0.899982103168624,0.902507994222393,4.348839045,34,0,0.905732859396722,0.92915519165564,0.021818665,37,0.0540540540540541,0.877941717633198,0.858703807237268,0.019561407,18,0.833333333333333,8.56982540928822e-13,0.232974304600645,0.392016254
31,0.661290322580645,0.861520245627524,0.842091616204243,3.209811548,40,0.15,0.89998041608159,0.90114899013949,3.057256664,31,0,0.911529369383198,0.941606696776748,0.022615661,44,0.0454545454545455,0.876679426267432,0.863631275054761,0.020114277,23,0.652173913043478,7.44467130698604e-10,0.244757315659934,0.477793887
40,0.6625,0.859371730298984,0.837251669555148,3.499360331,52,0.115384615384615,0.899979839045024,0.902507994222393,7.392755838,41,0,0.908443633346925,0.937093912055227,0.025395108,45,0.0222222222222222,0.882270421111087,0.871136234153837,0.022303204,19,0.894736842105263,5.23985449816765e-35,0.179197415440866,0.434875407
33,0.606060606060606,0.858523729969683,0.838631853022127,3.818287429,40,0.1,0.899984780229015,0.903130975634866,6.806143357,40,0,0.912587476639878,0.936619965167157,0.022282513,43,0.0697674418604651,0.88976165305169,0.881513959916734,0.019696673,19,0.736842105263158,9.79977677267285e-06,0.290220369992082,0.409155856
32,0.6875,0.860341486297875,0.837251669555148,3.393765016,41,0.0609756097560976,0.899987677434075,0.902293538160861,14.077696132,38,0,0.913606304659841,0.941096751221792,0.024702623,42,0.0476190476190476,0.870942165954205,0.854455959141564,0.021006392,19,0.789473684210526,3.29689761742325e-19,0.207809259297921,0.433257502
36,0.569444444444444,0.860341486297875,0.837251669555148,7.077129311,48,0.145833333333333,0.89998041608159,0.900504711436766,6.51414878,33,0,0.911712670290918,0.937199426286345,0.022968741,46,0.0543478260869565,0.879036210327613,0.876896124011823,0.020072932,22,0.727272727272727,1.81157424824417e-33,0.175452246950593,0.446708519
35,0.7,0.86504031259769,0.844232465833738,5.344932661,46,0.173913043478261,0.899982103168624,0.901172646038436,4.592563228,32,0,0.913879384841832,0.948174823508713,0.022327518,40,0,0.911009204645175,0.937371230841651,0.018388216,21,0.80952380952381,0.0218944937476926,0.383065479523246,0.430043347
33,0.636363636363636,0.856661660695676,0.835327219029928,6.728134058,43,0.104651162790698,0.899982103168624,0.902507994222393,17.897172835,36,0,0.911954656495073,0.938712154061367,0.023106219,43,0.0232558139534884,0.892431450968271,0.896572958554505,0.020178853,21,0.80952380952381,3.67230646250423e-53,0.159821879667941,0.473166048
42,0.511904761904762,0.858523729969683,0.838631853022127,5.08064893,54,0.0925925925925926,0.899984780229015,0.902655592480542,7.238256622,40,0,0.905162136596882,0.933441984826569,0.026100995,55,0.0181818181818182,0.883995398697743,0.874134868655173,0.023787278,26,0.923076923076923,7.25616478888253e-06,0.287327389587592,0.561888164
33,0.560606060606061,0.859371730298984,0.838093584320331,30.659563857,37,0.121621621621622,0.899982828596734,0.901970091158402,7.213718664,37,0,0.912102614651804,0.937199426286345,0.023555831,40,0.0375,0.886190503088345,0.880847064718406,0.020650262,21,0.714285714285714,0.0103589705921328,0.362463592879688,0.460327033
32,0.53125,0.863114606323273,0.841976291471566,4.278751273,42,0.142857142857143,0.899979839045024,0.902507994222393,10.864916389,34,0,0.913843151031469,0.944411894824567,0.02325531,41,0.0487804878048781,0.874582930725748,0.859916502962301,0.020319337,21,0.69047619047619,3.79255375966783e-104,0.135645880520106,0.437594038
36,0.666666666666667,0.859371730298984,0.838093584320331,8.65045816,44,0.125,0.899982103168624,0.90114899013949,10.423414879,46,0,0.914088726761571,0.942066450635573,0.024434043,40,0,0.90671095214843,0.925415054625927,0.021636471,19,0.921052631578947,0.00653457430866721,0.356448395319038,0.449758106
29,0.586206896551724,0.86250632416981,0.841738299028876,3.608165451,34,0.147058823529412,0.899986946937591,0.903345156496743,3.680546334,33,0,0.911464200933502,0.936811461429624,0.023289036,39,0.0256410256410256,0.893064231596466,0.894662901646687,0.019636192,17,0.705882352941177,0.136209709910107,0.44736687391478,0.376404259
34,0.602941176470588,0.862594312865695,0.840702112410049,3.509739674,40,0.125,0.899982103168624,0.901149371765903,4.573212467,40,0,0.902992952683154,0.912709148678331,0.023097333,45,0.0444444444444444,0.87821704937123,0.863441838972596,0.020340455,21,0.761904761904762,0.00666770802317974,0.35680522729303,0.439227694
32.9999999999806,0.666666666667059,0.862619522541669,0.838011660069794,3.162963353,41,0.146341463414634,0.899982103168624,0.901149371765903,6.557254179,34,0,0.913770900253986,0.945365445331407,0.023547116,44,0.0227272727272727,0.891830914172571,0.886224017752189,0.020918708,18,0.722222222222222,1.12858519844931e-18,0.210701136878417,0.409576308
